lambda_adv,adv_c,min_f1_ratio,t_aae,t_sae,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,train_elapsed_sec,val_score,test_score
0.0,1.0,0.93,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,56.39,1.2824398393486065,1.2604021214673717
0.0,1.0,0.95,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,56.39,1.2824398393486065,1.2604021214673717
0.0,1.0,0.97,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,56.39,1.2824398393486065,1.2604021214673717
0.0,1.0,0.99,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,56.39,1.2824398393486065,1.2604021214673717
0.0,1.0,,0.5,0.5,0.8840462738767824,0.93272982675199,0.925925925925926,0.0075675675675675,0.9924324324324324,0.9663865546218487,0.990546218487395,0.5041876046901173,0.0452029520295202,0.9547970479704796,0.8556962025316456,0.8575045207956601,0.4217383212358087,0.0376353844619527,0.0376353844619526,0.7150567653080215,0.0263852597985439,0.6886715055094776,0.0663444265175874,1.155149836430938,0.8891877353415815,0.935705368289638,0.7777777777777778,0.0086486486486486,0.9913513513513512,0.9695378151260504,0.9852941176470588,0.4949832775919732,0.0401291512915129,0.959870848708487,0.8615328994938539,0.8593637020968908,0.2827945001858045,0.0314805026428642,0.0314805026428642,0.6363805276848755,0.0243888999700807,0.6119916277147948,0.1045667550023617,1.1465391239791722,56.39,1.5245785929443956,1.2558472365116233
0.0,3.0,0.85,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,55.96,1.2824398393486065,1.2604021214673717
0.0,3.0,0.9,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,55.96,1.2824398393486065,1.2604021214673717
0.0,3.0,0.93,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,55.96,1.2824398393486065,1.2604021214673717
0.0,3.0,0.95,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,55.96,1.2824398393486065,1.2604021214673717
0.0,3.0,0.97,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,55.96,1.2824398393486065,1.2604021214673717
0.0,3.0,0.99,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,55.96,1.2824398393486065,1.2604021214673717
0.0,3.0,,0.5,0.5,0.8840462738767824,0.93272982675199,0.925925925925926,0.0075675675675675,0.9924324324324324,0.9663865546218487,0.990546218487395,0.5041876046901173,0.0452029520295202,0.9547970479704796,0.8556962025316456,0.8575045207956601,0.4217383212358087,0.0376353844619527,0.0376353844619526,0.7150567653080215,0.0263852597985439,0.6886715055094776,0.0663444265175874,1.155149836430938,0.8891877353415815,0.935705368289638,0.7777777777777778,0.0086486486486486,0.9913513513513512,0.9695378151260504,0.9852941176470588,0.4949832775919732,0.0401291512915129,0.959870848708487,0.8615328994938539,0.8593637020968908,0.2827945001858045,0.0314805026428642,0.0314805026428642,0.6363805276848755,0.0243888999700807,0.6119916277147948,0.1045667550023617,1.1465391239791722,55.96,1.5245785929443956,1.2558472365116233
0.0,10.0,0.85,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,54.83,1.2824398393486065,1.2604021214673717
0.0,10.0,0.9,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,54.83,1.2824398393486065,1.2604021214673717
0.0,10.0,0.93,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,54.83,1.2824398393486065,1.2604021214673717
0.0,10.0,0.95,0.6224489795918368,0.2959183673469387,0.8700564971751412,0.926606898647622,0.7037037037037037,0.0162162162162162,0.9837837837837838,0.9642857142857144,0.9758403361344538,0.7035175879396985,0.0133763837638376,0.9866236162361623,0.8376130198915009,0.925497287522604,0.0001861157640051,0.0028398324523785,0.0028398324523785,0.7036106458217011,0.0147962999900269,0.6888143458316741,0.3242789399122459,1.0543956624688255,0.8706293706293706,0.9269552012148824,0.6666666666666666,0.0183783783783783,0.9816216216216216,0.9632352941176472,0.972689075630252,0.705685618729097,0.011070110701107,0.988929889298893,0.8387563268257412,0.9276934201012292,0.0390189520624303,0.0073082676772713,0.0073082676772714,0.6861761426978819,0.0147242445397426,0.6714518981581391,0.3777100317963164,1.0485027101292643,54.83,1.2824398393486065,1.2604021214673717
