lambda_adv,adv_c,min_f1_ratio,d_aae_0,d_sae_0,d_aae_1,d_sae_1,d_aae_2,d_sae_2,val_accuracy,val_f1_macro,val_f1_weighted,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_AAE_FPR_0,val_AAE_FNR_0,val_AAE_FPR_1,val_AAE_FNR_1,val_AAE_FPR_2,val_AAE_FNR_2,val_SAE_FPR_0,val_SAE_FNR_0,val_SAE_FPR_1,val_SAE_FNR_1,val_SAE_FPR_2,val_SAE_FNR_2,val_FPR_gap_0,val_FNR_gap_0,val_FPR_gap_1,val_FNR_gap_1,val_FPR_gap_2,val_FNR_gap_2,val_mean_FPR_gap,val_mean_FNR_gap,val_AAE_mean_FPR,val_SAE_mean_FPR,val_AAE_mean_FNR,val_SAE_mean_FNR,val_mean_FPR,val_mean_FNR,val_abs_balance,test_accuracy,test_f1_macro,test_f1_weighted,test_f1_class_0,test_f1_class_1,test_f1_class_2,test_AAE_FPR_0,test_AAE_FNR_0,test_AAE_FPR_1,test_AAE_FNR_1,test_AAE_FPR_2,test_AAE_FNR_2,test_SAE_FPR_0,test_SAE_FNR_0,test_SAE_FPR_1,test_SAE_FNR_1,test_SAE_FPR_2,test_SAE_FNR_2,test_FPR_gap_0,test_FNR_gap_0,test_FPR_gap_1,test_FNR_gap_1,test_FPR_gap_2,test_FNR_gap_2,test_mean_FPR_gap,test_mean_FNR_gap,test_AAE_mean_FPR,test_SAE_mean_FPR,test_AAE_mean_FNR,test_SAE_mean_FNR,test_mean_FPR,test_mean_FNR,test_abs_balance,train_elapsed_sec
0.05,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.8415388754371805,0.5376368497088575,0.8135523301765676,0.636697247706422,0.06866952789699571,0.907543773523155,0.011891891891763332,0.7407407404663923,0.0010905125408823282,0.9999999997142857,0.8870967740504683,0.013483146067264234,0.049815498154751774,0.43048576213684275,0.0034816247582070345,0.9555555555024691,0.5212355212288129,0.046780684104392456,0.03792360626298844,0.3102549783295495,0.0023911122173247063,0.04444444421181659,0.3658612528216554,0.03329753803712822,0.1353919904339895,0.12933232019283145,0.30002639282770466,0.19151088138059058,0.5847412954159806,0.4776073339145681,0.24576863710414762,0.5311743146652743,0.10851551144711408,0.8464228079612695,0.5481870518150319,0.8196006368326239,0.6462646264626463,0.08658008658008658,0.9117164424023629,0.007567567567485756,0.7777777774897119,0.0,0.9999999997058824,0.885245901494222,0.006734006733931156,0.05535055350527975,0.4096989966486672,0.0027068832173135853,0.9444444443919753,0.4922879177314616,0.04778672032169121,0.047782985937793995,0.3680787808410447,0.0027068832173135853,0.0555555553139071,0.3929579837627604,0.041052713587760054,0.14781595097262265,0.1548956832475706,0.2976044896872359,0.18344845148468494,0.5948372613098418,0.4673100537874446,0.24052647058596044,0.5310736575486432,0.11415603820255096,82.87
0.05,0.1,0.85,1.5,0.5,-1.5,-1.0,-0.5,0.0,0.8272800645682001,0.5132591289748506,0.8034875171577185,0.6410453497309762,0.0,0.8987320371935756,0.09513513513410665,0.3333333332098765,0.0,0.9999999997142857,0.6451612902185223,0.09438202247084963,0.07933579335756764,0.33165829145173104,0.0011605415860690114,0.9999999999444444,0.4362934362878212,0.06841046277631585,0.015799341776539008,0.001675041758145479,0.0011605415860690114,2.3015878092280673e-10,0.20886785393070112,0.025971559694533783,0.07527591243110304,0.009215533894279348,0.246765475117543,0.17226325707715262,0.4759051184650039,0.4666895847241637,0.2095143660973478,0.4712973515945838,0.07450221804039037,0.8297471759010221,0.5174527209642242,0.8066134365134405,0.6413373860182371,0.009259259259259259,0.9017615176151762,0.07999999999913514,0.2962962961865569,0.0,0.9999999997058824,0.5901639343294813,0.0763187429845531,0.08994464944607959,0.32608695651628616,0.00038669760247336934,0.9944444443891974,0.420308483285086,0.0749496981887578,0.009944649446944454,0.029790660329729268,0.00038669760247336934,0.005555555316684946,0.1698554510443953,0.0013690447957953045,0.060062266031271044,0.012238420147403173,0.2233879781095388,0.17021327677787967,0.4575383462923308,0.46516036636474717,0.19680062744370924,0.461349356328539,0.053174701331659135,82.87
0.05,0.1,0.9,1.5,0.5,-1.5,-1.0,-0.5,0.0,0.8272800645682001,0.5132591289748506,0.8034875171577185,0.6410453497309762,0.0,0.8987320371935756,0.09513513513410665,0.3333333332098765,0.0,0.9999999997142857,0.6451612902185223,0.09438202247084963,0.07933579335756764,0.33165829145173104,0.0011605415860690114,0.9999999999444444,0.4362934362878212,0.06841046277631585,0.015799341776539008,0.001675041758145479,0.0011605415860690114,2.3015878092280673e-10,0.20886785393070112,0.025971559694533783,0.07527591243110304,0.009215533894279348,0.246765475117543,0.17226325707715262,0.4759051184650039,0.4666895847241637,0.2095143660973478,0.4712973515945838,0.07450221804039037,0.8297471759010221,0.5174527209642242,0.8066134365134405,0.6413373860182371,0.009259259259259259,0.9017615176151762,0.07999999999913514,0.2962962961865569,0.0,0.9999999997058824,0.5901639343294813,0.0763187429845531,0.08994464944607959,0.32608695651628616,0.00038669760247336934,0.9944444443891974,0.420308483285086,0.0749496981887578,0.009944649446944454,0.029790660329729268,0.00038669760247336934,0.005555555316684946,0.1698554510443953,0.0013690447957953045,0.060062266031271044,0.012238420147403173,0.2233879781095388,0.17021327677787967,0.4575383462923308,0.46516036636474717,0.19680062744370924,0.461349356328539,0.053174701331659135,82.87
0.05,0.1,0.93,1.5,0.5,-1.5,-1.0,-0.5,0.0,0.8272800645682001,0.5132591289748506,0.8034875171577185,0.6410453497309762,0.0,0.8987320371935756,0.09513513513410665,0.3333333332098765,0.0,0.9999999997142857,0.6451612902185223,0.09438202247084963,0.07933579335756764,0.33165829145173104,0.0011605415860690114,0.9999999999444444,0.4362934362878212,0.06841046277631585,0.015799341776539008,0.001675041758145479,0.0011605415860690114,2.3015878092280673e-10,0.20886785393070112,0.025971559694533783,0.07527591243110304,0.009215533894279348,0.246765475117543,0.17226325707715262,0.4759051184650039,0.4666895847241637,0.2095143660973478,0.4712973515945838,0.07450221804039037,0.8297471759010221,0.5174527209642242,0.8066134365134405,0.6413373860182371,0.009259259259259259,0.9017615176151762,0.07999999999913514,0.2962962961865569,0.0,0.9999999997058824,0.5901639343294813,0.0763187429845531,0.08994464944607959,0.32608695651628616,0.00038669760247336934,0.9944444443891974,0.420308483285086,0.0749496981887578,0.009944649446944454,0.029790660329729268,0.00038669760247336934,0.005555555316684946,0.1698554510443953,0.0013690447957953045,0.060062266031271044,0.012238420147403173,0.2233879781095388,0.17021327677787967,0.4575383462923308,0.46516036636474717,0.19680062744370924,0.461349356328539,0.053174701331659135,82.87
0.05,0.1,0.95,1.5,0.5,-1.5,-1.0,-0.5,0.0,0.8272800645682001,0.5132591289748506,0.8034875171577185,0.6410453497309762,0.0,0.8987320371935756,0.09513513513410665,0.3333333332098765,0.0,0.9999999997142857,0.6451612902185223,0.09438202247084963,0.07933579335756764,0.33165829145173104,0.0011605415860690114,0.9999999999444444,0.4362934362878212,0.06841046277631585,0.015799341776539008,0.001675041758145479,0.0011605415860690114,2.3015878092280673e-10,0.20886785393070112,0.025971559694533783,0.07527591243110304,0.009215533894279348,0.246765475117543,0.17226325707715262,0.4759051184650039,0.4666895847241637,0.2095143660973478,0.4712973515945838,0.07450221804039037,0.8297471759010221,0.5174527209642242,0.8066134365134405,0.6413373860182371,0.009259259259259259,0.9017615176151762,0.07999999999913514,0.2962962961865569,0.0,0.9999999997058824,0.5901639343294813,0.0763187429845531,0.08994464944607959,0.32608695651628616,0.00038669760247336934,0.9944444443891974,0.420308483285086,0.0749496981887578,0.009944649446944454,0.029790660329729268,0.00038669760247336934,0.005555555316684946,0.1698554510443953,0.0013690447957953045,0.060062266031271044,0.012238420147403173,0.2233879781095388,0.17021327677787967,0.4575383462923308,0.46516036636474717,0.19680062744370924,0.461349356328539,0.053174701331659135,82.87
0.05,0.1,0.97,1.5,0.5,-1.5,0.0,-0.5,0.0,0.8275490987355394,0.5308335833923282,0.8064685539879703,0.6415384615384615,0.05240174672489083,0.8985605419136325,0.09513513513410665,0.3333333332098765,0.0,0.9999999997142857,0.6451612902185223,0.09438202247084963,0.07887453874502365,0.33165829145173104,0.0030947775628506974,0.966666666612963,0.42985842985289757,0.07092555331956275,0.016260596389083004,0.001675041758145479,0.0030947775628506974,0.03333333310132269,0.21530286036562474,0.02345646915128688,0.07821941143918615,0.01948828133691835,0.246765475117543,0.1706092487202573,0.4759051184650039,0.4564168371280856,0.20868736191890014,0.46616097779654475,0.0761562263972857,0.8297471759010221,0.5318390146881343,0.8089416775845119,0.6407914764079148,0.05309734513274336,0.9016282225237449,0.07999999999913514,0.2962962961865569,0.0,0.9999999997058824,0.5901639343294813,0.0763187429845531,0.0894833948335356,0.32775919731893377,0.002320185614840216,0.966666666612963,0.4151670951103449,0.07696177062335532,0.009483394834400458,0.031462901132376875,0.002320185614840216,0.033333333092919415,0.17499683921913645,0.0006430276388022238,0.06226680655612571,0.02181308728803284,0.2233879781095388,0.1689902251862402,0.4575383462923308,0.45712921151841734,0.1961891016478895,0.4573337789053741,0.0543977529232986,82.87
0.05,0.1,0.99,1.0,0.0,1.0,1.0,-1.0,0.0,0.8181329028786656,0.586040779076537,0.8076383595091488,0.608318890814558,0.25787965616045844,0.8919237902545945,0.08756756756662089,0.40740740725651575,0.03598691384911683,0.7999999997714285,0.548387096685744,0.12247191011098346,0.045202952029311794,0.438860971516937,0.021663442939954883,0.7888888888450617,0.4813384813322865,0.06237424547252327,0.042364615537309094,0.03145356426042123,0.014323470909161945,0.011111110926366852,0.06704861535345752,0.06009766463846019,0.04124556726664285,0.03422077994174943,0.22398052603382723,0.1827349587671844,0.4432931057129759,0.4300413686115074,0.2033577424005058,0.43666723716224165,0.04124556726664283,0.8275954814416353,0.5782353797484442,0.8146872768568384,0.6264855687606112,0.20754716981132076,0.9006734006734006,0.07891891891806574,0.3333333332098765,0.028322440086837444,0.9411764703114187,0.5245901638484278,0.10101010100896733,0.05119926199238377,0.4130434782539625,0.01740139211130162,0.8277777777317901,0.45501285346458853,0.05734406438602946,0.02771965692568197,0.07971014504408597,0.010921047975535825,0.11339869257962865,0.0695773103838393,0.04366603662293787,0.036072671761685694,0.0789249580822175,0.210610507617777,0.1745378358560913,0.4585066348434208,0.43272177345726065,0.19257417173693414,0.4456142041503407,0.03607267176168569,82.87
0.05,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.8415388754371805,0.5398869244654599,0.8133429174148779,0.6258124419684308,0.08547008547008547,0.9083782459578638,0.010810810810693938,0.7407407404663923,0.0010905125408823282,0.9999999997142857,0.8709677417950052,0.011235955056053529,0.04889298892966378,0.4472361808970312,0.0030947775628506974,0.9444444443919753,0.5276705276637366,0.043762575452496164,0.03808217811896984,0.29350455956936106,0.0020042650219683693,0.05555555532231038,0.3432972141312687,0.032526620396442635,0.12779455242406898,0.12719557842937135,0.2942896883821938,0.193219431385417,0.5839922317455771,0.4784810669138342,0.2437545598838054,0.5312366493297056,0.10107025699677682,0.8445400753093061,0.5487946709279913,0.8184611489806635,0.6421524663677131,0.09361702127659574,0.9106145251396648,0.0064864864864163626,0.7777777774897119,0.0,0.9999999997058824,0.9016393441144853,0.006734006733931156,0.05811808118054374,0.4113712374513149,0.0038669760247336932,0.9388888888367284,0.48971722364409104,0.05130784708223689,0.051631594694127377,0.366406540038397,0.0038669760247336932,0.061111110869153995,0.4119221204703943,0.044573840348305735,0.15580689706308512,0.15736383041861893,0.30270861020030054,0.18390076028312283,0.5948372613098418,0.46718932445676,0.24330468524171167,0.5310132928833009,0.11880784991717772,75.71
0.05,0.5,0.85,1.0,-0.5,0.5,-1.5,0.0,0.0,0.8237826203927899,0.4823097580910529,0.7874956380148748,0.5488647581441264,0.0,0.8980645161290323,0.03783783783742878,0.5555555553497942,0.00545256270441164,0.9999999997142857,0.7580645160067637,0.04157303370739805,0.03505535055334384,0.5544388609622372,0.0003868471953563372,0.9999999999444444,0.6319176319094991,0.02867203219301473,0.0027824872840849363,0.0011166943875570157,0.005065715509055303,2.3015878092280673e-10,0.1261468840972646,0.012901001514383323,0.04466502896346828,0.0046725653773663734,0.26711830551620136,0.2224532765527331,0.5323761962571593,0.5277036310332321,0.24478579103446724,0.5300399136451956,0.04466502896346827,0.8356643356643356,0.5022044211285133,0.8012375118740274,0.5918762088974855,0.009174311926605505,0.9055627425614489,0.024864864864596055,0.5185185183264746,0.0032679738561735513,0.9999999997058824,0.7377049179118517,0.02581369248006943,0.03690036900351983,0.5100334448075245,0.0,0.9944444443891974,0.591259640095228,0.028169014084365347,0.012035504138923778,0.008485073518950004,0.0032679738561735513,0.005555555316684946,0.14644527781662364,0.002355321604295916,0.05391625193724032,0.0054653168133102885,0.2552792522108738,0.2093866696995826,0.514777403504142,0.5108823010936958,0.2323329609552282,0.512829852298919,0.04589258251129116,75.71
0.05,0.5,0.9,1.0,-0.5,0.5,-0.5,0.0,0.0,0.8232445520581114,0.4877564566572219,0.7880641813203548,0.5479723046488625,0.01762114537444934,0.8976759199483538,0.03783783783742878,0.5555555553497942,0.00545256270441164,0.9999999997142857,0.7580645160067637,0.04157303370739805,0.034594095940799846,0.556113902838256,0.0019342359767816858,0.9888888888339505,0.6306306306225145,0.030181086518962872,0.003243741896628932,0.0005583474884618411,0.0035183267276299546,0.011111110880335118,0.12743388538424927,0.01139194718843518,0.04473198466950271,0.007687135185744046,0.26711830551620136,0.22238632084669865,0.5323761962571593,0.5250612927303898,0.24475231318145002,0.5287187444937745,0.044731984669502706,0.8356643356643356,0.5111585863105182,0.8027812558105037,0.5924491771539206,0.035555555555555556,0.9054710262220783,0.024864864864596055,0.5185185183264746,0.0032679738561735513,0.9999999997058824,0.7377049179118517,0.02581369248006943,0.03643911439097584,0.5100334448075245,0.0015467904098934774,0.9777777777234568,0.5874035989641722,0.029678068410313493,0.011574249526379782,0.008485073518950004,0.001721183446280074,0.022222221982425627,0.1503013189476795,0.003864375930244062,0.05453225064011313,0.011523890477206566,0.2552792522108738,0.2084631679216805,0.514777403504142,0.5058297636470983,0.23187121006627714,0.5103035835756202,0.04681608428919329,75.71
