lambda_adv,adv_c,min_f1_ratio,d_aae_0,d_sae_0,d_aae_1,d_sae_1,d_aae_2,d_sae_2,val_accuracy,val_f1_macro,val_f1_weighted,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_AAE_FPR_0,val_AAE_FNR_0,val_AAE_FPR_1,val_AAE_FNR_1,val_AAE_FPR_2,val_AAE_FNR_2,val_SAE_FPR_0,val_SAE_FNR_0,val_SAE_FPR_1,val_SAE_FNR_1,val_SAE_FPR_2,val_SAE_FNR_2,val_FPR_gap_0,val_FNR_gap_0,val_FPR_gap_1,val_FNR_gap_1,val_FPR_gap_2,val_FNR_gap_2,val_mean_FPR_gap,val_mean_FNR_gap,val_AAE_mean_FPR,val_SAE_mean_FPR,val_AAE_mean_FNR,val_SAE_mean_FNR,val_mean_FPR,val_mean_FNR,val_abs_balance,test_accuracy,test_f1_macro,test_f1_weighted,test_f1_class_0,test_f1_class_1,test_f1_class_2,test_AAE_FPR_0,test_AAE_FNR_0,test_AAE_FPR_1,test_AAE_FNR_1,test_AAE_FPR_2,test_AAE_FNR_2,test_SAE_FPR_0,test_SAE_FNR_0,test_SAE_FPR_1,test_SAE_FNR_1,test_SAE_FPR_2,test_SAE_FNR_2,test_FPR_gap_0,test_FNR_gap_0,test_FPR_gap_1,test_FNR_gap_1,test_FPR_gap_2,test_FNR_gap_2,test_mean_FPR_gap,test_mean_FNR_gap,test_AAE_mean_FPR,test_SAE_mean_FPR,test_AAE_mean_FNR,test_SAE_mean_FNR,test_mean_FPR,test_mean_FNR,test_abs_balance,train_elapsed_sec,val_score,test_score
0.0,0.5,0.95,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,74.01,0.17700363182569528,0.17782981300907102
0.0,0.5,0.97,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,74.01,0.17700363182569528,0.17782981300907102
0.0,0.5,0.99,1.5,0.0,1.0,0.0,0.0,0.0,0.8270110304008609,0.5322937401347959,0.8019702879554461,0.599290780141844,0.0991735537190082,0.8984168865435356,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0511992619923837,0.4589614740291631,0.0042553191489197,0.9388888888367284,0.5379665379596144,0.0487927565389899,0.0082601974664328,0.0145170297493277,0.0001067310146096,0.032539682314292,0.1717108812807602,0.0152521872805151,0.0600259365872675,0.0207696331147116,0.2578329762875735,0.1978070397003059,0.493305986416787,0.4822143731349605,0.2278200079939397,0.4877601797758738,0.0600259365872676,0.835933297471759,0.5349007585863834,0.8103741343456066,0.6223776223776224,0.076595744680851,0.9057289087006768,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0544280442801917,0.4297658862804387,0.0027068832173135,0.9499999999472222,0.5038560411246291,0.0447686116697949,0.005779395632069,0.0146785579993966,0.002739739876309,0.0499999997586602,0.2010619915466958,0.0079811077459991,0.0698603756850246,0.0242198885013519,0.2530044348043567,0.1869969895407115,0.4990647211338372,0.4748448326324853,0.2200007121725341,0.4869547768831612,0.0660074452636452,74.01,0.1760068633617688,0.1755982663224429
0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.8358891579230562,0.5355005058881758,0.8080180577340813,0.6090993500464252,0.0928270042194092,0.9045751633986928,0.0151351351349715,0.8148148145130315,0.0,0.9999999997142855,0.9032258063059312,0.0146067415728695,0.0511992619923837,0.4589614740291631,0.0042553191489197,0.9388888888367284,0.5379665379596144,0.0487927565389899,0.0360641268574122,0.3558533404838684,0.0042553191489197,0.0611111108775572,0.3652592683463169,0.0341860149661203,0.1351929047842163,0.1503834887758487,0.3061203138136343,0.1978070397003059,0.609807185266729,0.4822143731349605,0.2519636767569701,0.5460107792008447,0.1083132741133283,0.8448090371167294,0.5414669029426723,0.8170024314899945,0.635036496350365,0.0779220779220779,0.9114421345555738,0.0054054054053469,0.7407407404663923,0.0010893246187245,0.9999999997058824,0.885245901494222,0.0067340067339311,0.0544280442801917,0.4297658862804387,0.0027068832173135,0.9499999999472222,0.5038560411246291,0.0447686116697949,0.0490226388748447,0.3109748541859535,0.001617558598589,0.0499999997586602,0.3813898603695929,0.0380346049358637,0.1440100192810089,0.1330031529601592,0.2972468771727645,0.1869969895407115,0.5824915823020687,0.4748448326324853,0.2421219333567379,0.5286682074672769,0.1102498876320529,74.01,0.36129673308472804,0.3412059223164076
0.0,1.0,0.85,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,63.34,0.17700363182569528,0.17782981300907102
0.0,1.0,0.9,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,63.34,0.17700363182569528,0.17782981300907102
0.0,1.0,0.93,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,63.34,0.17700363182569528,0.17782981300907102
0.0,1.0,0.95,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,63.34,0.17700363182569528,0.17782981300907102
0.0,1.0,0.97,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,63.34,0.17700363182569528,0.17782981300907102
0.0,1.0,0.99,1.5,0.0,1.0,0.0,0.0,0.0,0.8270110304008609,0.5322937401347959,0.8019702879554461,0.599290780141844,0.0991735537190082,0.8984168865435356,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0511992619923837,0.4589614740291631,0.0042553191489197,0.9388888888367284,0.5379665379596144,0.0487927565389899,0.0082601974664328,0.0145170297493277,0.0001067310146096,0.032539682314292,0.1717108812807602,0.0152521872805151,0.0600259365872675,0.0207696331147116,0.2578329762875735,0.1978070397003059,0.493305986416787,0.4822143731349605,0.2278200079939397,0.4877601797758738,0.0600259365872676,0.835933297471759,0.5349007585863834,0.8103741343456066,0.6223776223776224,0.076595744680851,0.9057289087006768,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0544280442801917,0.4297658862804387,0.0027068832173135,0.9499999999472222,0.5038560411246291,0.0447686116697949,0.005779395632069,0.0146785579993966,0.002739739876309,0.0499999997586602,0.2010619915466958,0.0079811077459991,0.0698603756850246,0.0242198885013519,0.2530044348043567,0.1869969895407115,0.4990647211338372,0.4748448326324853,0.2200007121725341,0.4869547768831612,0.0660074452636452,63.34,0.1760068633617688,0.1755982663224429
0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.8358891579230562,0.5355005058881758,0.8080180577340813,0.6090993500464252,0.0928270042194092,0.9045751633986928,0.0151351351349715,0.8148148145130315,0.0,0.9999999997142855,0.9032258063059312,0.0146067415728695,0.0511992619923837,0.4589614740291631,0.0042553191489197,0.9388888888367284,0.5379665379596144,0.0487927565389899,0.0360641268574122,0.3558533404838684,0.0042553191489197,0.0611111108775572,0.3652592683463169,0.0341860149661203,0.1351929047842163,0.1503834887758487,0.3061203138136343,0.1978070397003059,0.609807185266729,0.4822143731349605,0.2519636767569701,0.5460107792008447,0.1083132741133283,0.8448090371167294,0.5414669029426723,0.8170024314899945,0.635036496350365,0.0779220779220779,0.9114421345555738,0.0054054054053469,0.7407407404663923,0.0010893246187245,0.9999999997058824,0.885245901494222,0.0067340067339311,0.0544280442801917,0.4297658862804387,0.0027068832173135,0.9499999999472222,0.5038560411246291,0.0447686116697949,0.0490226388748447,0.3109748541859535,0.001617558598589,0.0499999997586602,0.3813898603695929,0.0380346049358637,0.1440100192810089,0.1330031529601592,0.2972468771727645,0.1869969895407115,0.5824915823020687,0.4748448326324853,0.2421219333567379,0.5286682074672769,0.1102498876320529,63.34,0.36129673308472804,0.3412059223164076
0.0,3.0,0.85,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,59.87,0.17700363182569528,0.17782981300907102
0.0,3.0,0.9,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,59.87,0.17700363182569528,0.17782981300907102
0.0,3.0,0.93,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,59.87,0.17700363182569528,0.17782981300907102
0.0,3.0,0.95,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,59.87,0.17700363182569528,0.17782981300907102
0.0,3.0,0.97,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,59.87,0.17700363182569528,0.17782981300907102
0.0,3.0,0.99,1.5,0.0,1.0,0.0,0.0,0.0,0.8270110304008609,0.5322937401347959,0.8019702879554461,0.599290780141844,0.0991735537190082,0.8984168865435356,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0511992619923837,0.4589614740291631,0.0042553191489197,0.9388888888367284,0.5379665379596144,0.0487927565389899,0.0082601974664328,0.0145170297493277,0.0001067310146096,0.032539682314292,0.1717108812807602,0.0152521872805151,0.0600259365872675,0.0207696331147116,0.2578329762875735,0.1978070397003059,0.493305986416787,0.4822143731349605,0.2278200079939397,0.4877601797758738,0.0600259365872676,0.835933297471759,0.5349007585863834,0.8103741343456066,0.6223776223776224,0.076595744680851,0.9057289087006768,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0544280442801917,0.4297658862804387,0.0027068832173135,0.9499999999472222,0.5038560411246291,0.0447686116697949,0.005779395632069,0.0146785579993966,0.002739739876309,0.0499999997586602,0.2010619915466958,0.0079811077459991,0.0698603756850246,0.0242198885013519,0.2530044348043567,0.1869969895407115,0.4990647211338372,0.4748448326324853,0.2200007121725341,0.4869547768831612,0.0660074452636452,59.87,0.1760068633617688,0.1755982663224429
0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.8358891579230562,0.5355005058881758,0.8080180577340813,0.6090993500464252,0.0928270042194092,0.9045751633986928,0.0151351351349715,0.8148148145130315,0.0,0.9999999997142855,0.9032258063059312,0.0146067415728695,0.0511992619923837,0.4589614740291631,0.0042553191489197,0.9388888888367284,0.5379665379596144,0.0487927565389899,0.0360641268574122,0.3558533404838684,0.0042553191489197,0.0611111108775572,0.3652592683463169,0.0341860149661203,0.1351929047842163,0.1503834887758487,0.3061203138136343,0.1978070397003059,0.609807185266729,0.4822143731349605,0.2519636767569701,0.5460107792008447,0.1083132741133283,0.8448090371167294,0.5414669029426723,0.8170024314899945,0.635036496350365,0.0779220779220779,0.9114421345555738,0.0054054054053469,0.7407407404663923,0.0010893246187245,0.9999999997058824,0.885245901494222,0.0067340067339311,0.0544280442801917,0.4297658862804387,0.0027068832173135,0.9499999999472222,0.5038560411246291,0.0447686116697949,0.0490226388748447,0.3109748541859535,0.001617558598589,0.0499999997586602,0.3813898603695929,0.0380346049358637,0.1440100192810089,0.1330031529601592,0.2972468771727645,0.1869969895407115,0.5824915823020687,0.4748448326324853,0.2421219333567379,0.5286682074672769,0.1102498876320529,59.87,0.36129673308472804,0.3412059223164076
0.0,10.0,0.85,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,64.03,0.17700363182569528,0.17782981300907102
0.0,10.0,0.9,1.5,0.0,1.0,-0.5,0.0,0.0,0.8272800645682001,0.5196024644592473,0.7999552284058773,0.598939929328622,0.0611353711790393,0.8987320928700807,0.0594594594588166,0.4444444442798353,0.0043620501635293,0.9714285711510204,0.7096774192403746,0.0640449438195051,0.0525830258300157,0.4572864321531443,0.001160541586069,0.966666666612963,0.5431145431075532,0.046277665995743,0.0068764336288008,0.0128419878733089,0.0032015085774603,0.0047619045380574,0.1665628761328214,0.017767277823762,0.0588802727796941,0.0117903900783761,0.2578329762875735,0.1989527035078793,0.493305986416787,0.4900769215872835,0.2283928398977264,0.4916914540020353,0.0588802727796942,0.8356643356643356,0.5212379638408476,0.8080946070348806,0.6224934612031386,0.0353982300884955,0.9058222002309088,0.0486486486481227,0.4444444442798353,0.0054466230936225,0.9999999997058824,0.7049180326713249,0.052749719415794,0.0553505535052797,0.428093645477791,0.0011600928074201,0.9777777777234568,0.507712082255685,0.0432595573438467,0.006701904857157,0.0163507988020443,0.0042865302862024,0.0222222219824256,0.1972059504156399,0.0094901620719472,0.0693981285196664,0.016021060952139,0.2530044348043567,0.1880742428561282,0.4990647211338372,0.4830436601816981,0.2205393388302425,0.4910541906577677,0.0649301919482284,64.03,0.17700363182569528,0.17782981300907102
